Date,Actual_IHSG,Hybrid_Multivariate,Hybrid_Univariate,Single_LSTM,Error_Hybrid_Multi,Error_Hybrid_Uni
2023-10-19,6846.4267578125,6939.128890991211,6941.257053375244,,-92.70213317871094,-94.83029556274414
2023-10-20,6849.16796875,6938.811245918274,6940.469863891602,,-89.64327716827393,-91.30189514160156
2023-10-23,6741.9638671875,6937.782459259033,6938.623661994934,,-195.8185920715332,-196.65979480743408
2023-10-24,6806.76220703125,6935.969601631165,6934.9339900016785,,-129.20739459991455,-128.17178297042847
2023-10-25,6834.38818359375,6933.376769542694,6930.314586877823,,-98.98858594894409,-95.92640328407288
2023-10-26,6714.51904296875,6931.051078557968,6925.940291404724,,-216.53203558921814,-211.42124843597412
2023-10-27,6758.79296875,6928.638030409813,6920.790700435638,,-169.84506165981293,-161.99773168563843
2023-10-30,6735.89208984375,6925.73086810112,6915.234157562256,,-189.83877825737,-179.34206771850586
2023-10-31,6752.2109375,6922.965661048889,6909.646221160889,,-170.75472354888916,-157.43528366088867
2023-11-01,6642.41796875,6920.328175067902,6904.378463745117,,-277.9102063179016,-261.9604949951172
2023-11-02,6751.38623046875,6917.611521720886,6898.479511260986,,-166.22529125213623,-147.09328079223633
2023-11-03,6788.85009765625,6914.729318618774,6893.0391845703125,,-125.87922096252441,-104.1890869140625
2023-11-06,6878.8359375,6912.836123466492,6889.152179718018,6727.127084171283,-34.0001859664917,-10.316242218017578
2023-11-07,6843.7900390625,6912.162810325623,6887.709808349609,6728.722018654691,-68.37277126312256,-43.919769287109375
2023-11-08,6804.10595703125,6912.707427978516,6888.121829986572,6753.402352702658,-108.60147094726562,-84.01587295532227
2023-11-09,6838.23291015625,6913.535176277161,6889.16134262085,6780.963927381017,-75.30226612091064,-50.92843246459961
2023-11-10,6809.26318359375,6914.412453651428,6890.702377319336,6799.728293738823,-105.14927005767822,-81.43919372558594
2023-11-13,6838.31201171875,6915.402241706848,6892.341888427734,6816.8660350407445,-77.09022998809814,-54.029876708984375
2023-11-14,6862.05517578125,6916.306623458862,6894.109504699707,6823.146444314378,-54.251447677612305,-32.05432891845703
2023-11-15,6958.205078125,6917.413408279419,6896.279590606689,6828.92902780397,40.791669845581055,61.92548751831055
2023-11-16,6958.0078125,6919.100884437561,6899.802934646606,6837.310711230195,38.906928062438965,58.204877853393555
2023-11-17,6977.66796875,6921.657642841339,6904.616550445557,6870.498308510243,56.01032590866089,73.05141830444336
2023-11-20,6994.88818359375,6924.625058174133,6910.321094512939,6898.8195109407825,70.2631254196167,84.56708908081055
2023-11-21,6961.7900390625,6927.893544150516,6916.662877082825,6925.933160661909,33.89649491198361,45.12716197967529
2023-11-22,6906.953125,6931.1206912994385,6922.857634544373,6953.7494424041215,-24.167566299438477,-15.904509544372559
2023-11-23,7004.34423828125,6933.679789543152,6927.849475555122,6975.5603606621735,70.66444873809814,76.4947627261281
2023-11-24,7009.630859375,6935.777533054352,6932.554285526276,6980.034170807878,73.8533263206482,77.07657384872437
2023-11-27,7013.40576171875,6938.145147323608,6937.4230852127075,6980.115762207162,75.2606143951416,75.98267650604248
